complaint_id,date_received,district_occurrence,general_cap_classification,summary,incident_date_extract,incident_time_extract,objectid
20-0278,2020-06-16 04:00:00+00,1800,PHYSICAL ABUSE,"According to the complainant, on 4-26-20 at 5:15 PM, they were threatened with firearms by unknown officers while in the confines of the 18th District.",2020-04-26,05:15 PM,5494
20-0279,2020-06-16 04:00:00+00,0900,UNPROFESSIONAL CONDUCT,"According to the complainant, on 6-2-20 at 3:35 PM, they were treated unprofessionally by an officer within the confines of the 9th District.",2020-06-02,03:35 PM,5495
20-0291,2020-06-18 04:00:00+00,0900,PHYSICAL ABUSE,"According to the complainants, on 6-6-20 at 3:30 PM, they witnessed an individual being physically abused by an officer, while in the confines of the 9th District.",2020-06-06,03:30 PM,5507
20-0292,2020-06-17 04:00:00+00,0800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-2-20 at 10:30 AM, a supervisor assigned to the Canine Unit violated the social media policy.",2020-06-02,10:30 AM,5508
20-0293,2020-06-17 04:00:00+00,1400,DEPARTMENTAL VIOLATIONS,"According to the complainant, departmental policies have been violated on several occasions by officers assigned to the 14th District.",,,5509
20-0294,2020-06-16 04:00:00+00,2600,LACK OF SERVICE,"According to the complainant, on 5-27-20, they did not receive proper service from a detective assigned to the East Detective Division.",2020-05-27,,5510
20-0295,2020-06-17 04:00:00+00,0600,PHYSICAL ABUSE,"According to the complainant, on 6-6-20 at 4:40 PM, they were physically abused by an officer within the confines of the 6th District.",2020-06-06,04:40 PM,5511
20-0296,2020-06-19 04:00:00+00,1900,LACK OF SERVICE,"According to the complainant, on 6-15-20, they did not receive proper police service from unknown 19th District officers. .",2020-06-15,,5512
20-0297,2020-06-18 04:00:00+00,1800,PHYSICAL ABUSE,"According to the complainant, on 5-31-20 at 5:00 PM, they were physically abused by officers while in the confines of the 18th District.",2020-05-31,05:00 PM,5513
20-0298,2020-06-18 04:00:00+00,0600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-1-20 at 6:00 PM, a supervisor in full uniform at a protest rally violated police department policy within the confines of the 6th District.",2020-06-01,06:00 PM,5514
20-0299,2020-06-18 04:00:00+00,1400,LACK OF SERVICE,"According to the complainant, on 6-3-20 at 8:00 PM, they did not receive proper police service while in the confines of the 14th District.",2020-06-03,08:00 PM,5515
20-0300,2020-06-24 04:00:00+00,,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-18-20, they did not receive proper service from a sergeant assigned to the 12th District, who violated departmental policies.",2020-06-18,,5516
20-0301,2020-06-19 04:00:00+00,3900,DEPARTMENTAL VIOLATIONS,"According to the complainant, 6-7-20 at 9:06 AM, an unknown sergeant did not follow proper police procedure within the confines of the 39th District.",2020-06-07,09:06 AM,5517
20-0302,2020-06-22 04:00:00+00,1800,LACK OF SERVICE,"According to the complainant, on 5-31-20 and 6-1-20, they witnessed a lack of service by officers while in the confines of the 18th District.",2020-05-31,,5518
20-0303,2020-06-22 04:00:00+00,0800,DEPARTMENTAL VIOLATIONS,"According to the complainant, 3-18-19 at 9:30 PM, they did not receive proper service from an officer assigned to the 7th District.",2019-03-18,09:30 PM,5519
20-0304,2020-06-23 04:00:00+00,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, 5-29-20 at 8:03 AM, a detective assigned to Northeast Detective Division, violated department policy.",2020-05-29,08:03 AM,5520
20-0305,2020-06-22 04:00:00+00,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-19-09 at 12:30 AM, departmental policies were violated by an officer while in the confines of the 35th District.",2009-02-19,12:30 AM,5521
20-0306,2020-06-23 04:00:00+00,0700,PHYSICAL ABUSE,"According to the complainant, on 6-5-20 at 4:30 PM, they were physically abused by unknown 7th District officers.",2020-06-05,04:30 PM,5522
20-0307,2020-06-19 04:00:00+00,0100,VERBAL ABUSE,"According to the complainant, 8-29-19, they were verbally abused and did not receive proper service from an officer assigned to the 1st District.",2019-08-29,,5523
20-0308,2020-06-22 04:00:00+00,0900,SEXUAL CRIME/MISCONDUCT,"The complainant alleged that on 1-31-20 at 9:43PM, a supervisor violated several police department policies while in the confines of the 9th District.",2020-01-31,09:43 PM,5524
20-0309,2020-06-22 04:00:00+00,,LACK OF SERVICE,"The complainant alleged that sometime in March of 2020, they did not receive proper service from an officer while in confines of the 6th District.",,,5525
20-0310,2020-06-22 04:00:00+00,0100,LACK OF SERVICE,"According to the complainant, on an unspecified date and time, they did not receive proper service from officers while in the confines of the 1st District.",,,5526
20-0311,2020-06-22 04:00:00+00,1500,LACK OF SERVICE,"According to the complainant, they did not receive proper service and were treated unprofessionally by a detective assigned to the Northeast Detective Division.",,,5527
20-0604,2020-11-30 05:00:00+00,2400,PHYSICAL ABUSE,"According to the complainant, on 11-21-20 at 12:00 AM, officers raided a party that they attended. An officer placed the complainant in handcuffs. While walking to the police wagon, another officer approached the complainant and pushed them, causing the complainant to hit their head. The complainant also states that they were refused of any medical assistance.",2020-11-21,12:00 AM,5820
20-0605,2020-12-01 05:00:00+00,1800,PHYSICAL ABUSE,"On 10-27-20 at 1:00 AM, an officer struck the complainant in the face with a baton. Officers called the complainant a piece of sh*t and a d*ck head. The complainant was arrested and was not offered any medical treatment. The complainant obtained medical treatment after being released from custody and received six stitches.",2020-10-27,01:00 AM,5821
20-0606,2020-12-01 05:00:00+00,1200,PHYSICAL ABUSE,"On 11-28-20 at 7:00 PM, the complainant¿s vehicle was stopped by police for heavy tint. The complainant states that when the officers began asking irrelevant questions, the complainant did not answer and they began to act inappropriate and unprofessional. The officers proceeded to draw their weapons and make the complainant exit the vehicle. The officers aggressively grabbed the complainant¿s genitals during their search and then searched the vehicle without permission.",2020-11-28,07:00 PM,5822
20-0607,2020-12-01 05:00:00+00,1400,HARASSMENT,"According to the complainant, on 11-29-20 at 4:57 PM, an off-duty officer approached them and made a comment that caused them to feel harassed and threatened, due to several previous encounters with the officer.",2020-11-29,04:57 PM,5823
20-0608,2020-12-02 05:00:00+00,1400,LACK OF SERVICE,"The complainant called 911 on 11-27-20 at 7:21 AM, due to a domestic dispute with a spouse. One of the responding officers then began a relationship with the spouse. The complainant states that this officer is helping the spouse build a false case, showing the spouse the ins and outs of handling the system against the complainant. The complainant feels that the officer is acting unethically by sleeping with the spouse, while in the family¿s home after being falsely kicked out.",2020-11-27,07:21 AM,5824
20-0609,2020-12-03 05:00:00+00,2200,UNPROFESSIONAL CONDUCT,"According to the complainant, on 11-27-20 at 11:26 PM, they did not receive proper service, were treated unprofessionally and departmental policies were violated by officers in the confines of the 22nd District. The complainant states that they called 911 for officers to ticket a vehicle. Officer responded and failed to wear a mask. An officer called the complainant an idiot and told them that they did not care about their disability and was not going to issue a ticket on private property.",2020-11-27,11:26 PM,5825
20-0610,2020-12-03 05:00:00+00,2600,UNPROFESSIONAL CONDUCT,"According to the complainant, on 11-25-20 at 7:40 PM, they called police due to threats made against them by a roommate. When officers arrived, they mocked the complainant and were dismissive towards the complainant.",2020-11-25,07:40 PM,5826
20-0611,2020-12-03 05:00:00+00,0200,PHYSICAL ABUSE,"According to the complainant, on 12-1-20 at 7:30 PM, while in the confines of the 2nd District police were called because they were assaulted. The complainant states that after officers arrived, a Sergeant pushed them down the stairs. The sergeant would not hear their side of the story and said, ¿Shut the f*ck up.¿ As the complainant laid on the ground, the sergeant tapped them several times with their foot and told them to get up.",2020-12-01,07:30 PM,5827
20-0612,2020-12-03 05:00:00+00,2500,UNPROFESSIONAL CONDUCT,"According to the complainant, on 11-18-20, they contacted the Neighborhood Services Unit over the phone and spoke with two different officers. The complainant states that none of the officers would provide them with information on how they could retrieve their vehicle and were condescending and rude towards them.",2020-11-18,,5828
20-0613,2020-12-03 05:00:00+00,3900,LACK OF SERVICE,"According to the complainant, between 9-30-20 through 10-1-20, they have made several police reports in regards to threats received. The complainant states they have not received proper service from several officers.",2020-09-30,,5829
20-0614,2020-12-04 05:00:00+00,0800,HARASSMENT,"According to the complainant, on 11-26-20, while in the confines of the 8th District, they have an ongoing domestic incident with an off-duty officer. The complainant attempted to serve the officer with court paperwork. The complainant states that while residing with the officer, and now since leaving, there have been several domestic incidents. The complainant states that they have been stalked, their cell phone was tapped and they are alleging financial theft.",2020-11-26,,5830
19-0207,2019-05-08 04:00:00+00,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, 5-3-19 at 11:15 AM, their home was improperly searched and they were falsely arrested by officers assigned to the Narcotic Strike Force.",2019-05-03,11:15 AM,4741
19-0208,2019-05-08 04:00:00+00,3900,DEPARTMENTAL VIOLATIONS,"According to the complainant, 5-1-19 at 3:44 AM, they are missing property and were harassed by an officer assigned to the 39th District.",2019-05-01,03:44 AM,4742
20-0615,2020-12-07 05:00:00+00,0900,LACK OF SERVICE,"According to the complainant, on 12-2-20 at 2:00 PM, they were treated unprofessionally and did not receive proper service from an officer while in the confines of the 9th District. They were struck in the stomach by a vehicle. The operator exited the vehicle and attempted to assault them. Officers arrived, and pulled the operator off of them. The complainant states that the officer then allowed the operator to get back into the vehicle and leave the scene. The officer did no help the complainant, acted obnoxious and offered them no recourse. The officer was smoking a cigar throughout the entire incident. The complainant states that they went to the police district to file a report. The complainant also added that they have video of the incident.",2020-12-02,02:00 PM,5831
20-0616,2020-12-07 05:00:00+00,0200,LACK OF SERVICE,"According to the complainant, on 12-2-20 beginning at 6:30 PM, they called 911 three times while their ex-significant other violated a Protection From Abuse Order. The complainant states that they waited until 4:00 AM the following day for police, however, no one ever came.",2020-12-02,06:30 PM,5832
20-0617,2020-12-07 05:00:00+00,0600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-25-20 at 10:56 AM, they did not receive proper service and were improperly ticketed by an officer while in the confines of the 6th District. The complainant was pulled over by a police van. The officer told the complainant that they cut them off. The complainant supplied their information to the officer. The officer asked the complainant about their company truck and told them that a ticket will be mailed to the registered company. The officer refused to tell the complainant why the ticket was issued.",2020-11-25,10:56 AM,5833
20-0618,2020-12-08 05:00:00+00,0200,LACK OF SERVICE,"The complainant called 911, on 11-30-20 at 8:40 PM, due to being assaulted by a neighbor. Officers did not respond to the call that night so the complainant went to the district the next day to file a police report. The complainant was informed that there was nothing they could do to help because there was no evidence, as in photos or footage of the incident. The complainant just wanted a police report.",2020-11-30,08:40 PM,5834
19-0184,2019-04-29 04:00:00+00,1600,CRIMINAL ALLEGATION,"According to the complainant, on 4-16-19 or 4-17-19, at 5:00 PM or 6:00 PM, they are missing property and have been harassed by officers assigned to the Narcotic Strike Force Unit.",2019-04-16,05:00 PM,4718
19-0185,2019-04-29 04:00:00+00,1400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 03-30-19 at 7:15 PM, they were falsely detained by officers assigned to the 14th District.",2019-03-30,07:15 PM,4719
19-0186,2019-04-29 04:00:00+00,1400,PHYSICAL ABUSE,"According to the complainant, on 4-10-19 at 8:00 PM, they were physically abused by unknown officers.",2019-04-10,08:00 PM,4720
19-0187,2019-05-02 04:00:00+00,0600,LACK OF SERVICE,"According to the complainant, on 3-25-19, they did not receive proper service from an officer assigned to the 6th District.",2019-03-25,,4721
19-0188,2019-05-02 04:00:00+00,3500,UNPROFESSIONAL CONDUCT,"According to the complainant, on 4-23-19 or 4-24-19 at 12:00 PM, they were treated in a rude manner and did not receive proper service from an officer assigned to the 35th District.",2019-04-23,12:00 PM,4722
